Scenario,Area,Period,Age,Sex,Ratio,Death Ratio,Population,Deaths
SSP2,Afghanistan,2030-2035,0--4,Male,0.99,0.01,3773,37.73
SSP2,Afghanistan,2035-2040,0--4,Male,0.991,0.009,3943.3,35.4897
SSP2,Afghanistan,2040-2045,0--4,Male,0.991,0.009,4075.3,36.6777
SSP2,Afghanistan,2045-2050,0--4,Male,0.992,0.008,4162.1,33.2968
SSP2,Afghanistan,2050-2055,0--4,Male,0.993,0.007,4208.2,29.4574
SSP2,Afghanistan,2055-2060,0--4,Male,0.994,0.006,4203.2,25.2192
SSP2,Afghanistan,2060-2065,0--4,Male,0.994,0.006,4160.6,24.9636
SSP2,Afghanistan,2065-2070,0--4,Male,0.995,0.005,4093.3,20.4665
SSP2,Afghanistan,2070-2075,0--4,Male,0.996,0.004,3961.2,15.8448
SSP2,Afghanistan,2075-2080,0--4,Male,0.996,0.004,3809.6,15.2384
SSP2,Afghanistan,2080-2085,0--4,Male,0.997,0.003,3588,10.764
SSP2,Afghanistan,2085-2090,0--4,Male,0.997,0.003,3357.8,10.0734
SSP2,Afghanistan,2090-2095,0--4,Male,0.997,0.003,3236.8,9.7104
SSP2,Afghanistan,2095-2100,0--4,Male,0.998,0.002,3154.3,6.3086
SSP2,Angola,2030-2035,0--4,Male,0.982,0.018,3384.9,60.9282
SSP2,Angola,2035-2040,0--4,Male,0.983,0.017,3616.6,61.4822
SSP2,Angola,2040-2045,0--4,Male,0.985,0.015,3819.7,57.2955
SSP2,Angola,2045-2050,0--4,Male,0.986,0.014,3933.8,55.0732
SSP2,Angola,2050-2055,0--4,Male,0.987,0.013,4003.8,52.0494
SSP2,Angola,2055-2060,0--4,Male,0.988,0.012,4018.6,48.2232
SSP2,Angola,2060-2065,0--4,Male,0.989,0.011,4040.1,44.4411
SSP2,Angola,2065-2070,0--4,Male,0.991,0.009,3991.2,35.9208
SSP2,Angola,2070-2075,0--4,Male,0.992,0.008,3880.5,31.044
SSP2,Angola,2075-2080,0--4,Male,0.993,0.007,3772,26.404
SSP2,Angola,2080-2085,0--4,Male,0.994,0.006,3595.5,21.573
SSP2,Angola,2085-2090,0--4,Male,0.994,0.006,3388.8,20.3328
SSP2,Angola,2090-2095,0--4,Male,0.995,0.005,3159.3,15.7965
SSP2,Angola,2095-2100,0--4,Male,0.995,0.005,3062,15.31
SSP2,Bangladesh,2030-2035,0--4,Male,0.997,0.003,7031.7,21.0951
SSP2,Bangladesh,2035-2040,0--4,Male,0.997,0.003,6488,19.464
SSP2,Bangladesh,2040-2045,0--4,Male,0.998,0.002,6027.2,12.0544
SSP2,Bangladesh,2045-2050,0--4,Male,0.998,0.002,5649.1,11.2982
SSP2,Bangladesh,2050-2055,0--4,Male,0.998,0.002,5350.2,10.7004
SSP2,Bangladesh,2055-2060,0--4,Male,0.998,0.002,5126.7,10.2534
SSP2,Bangladesh,2060-2065,0--4,Male,0.999,0.001,4872.2,4.8722
SSP2,Bangladesh,2065-2070,0--4,Male,0.999,0.001,4607.1,4.6071
SSP2,Bangladesh,2070-2075,0--4,Male,0.999,0.001,4372,4.372
SSP2,Bangladesh,2075-2080,0--4,Male,0.999,0.001,4188.4,4.1884
SSP2,Bangladesh,2080-2085,0--4,Male,0.999,0.001,4044.3,4.0443
SSP2,Bangladesh,2085-2090,0--4,Male,0.999,0.001,3888.2,3.8882
SSP2,Bangladesh,2090-2095,0--4,Male,1,0,3718.9,0
SSP2,Bangladesh,2095-2100,0--4,Male,1,0,3559.9,0
SSP2,Benin,2030-2035,0--4,Male,0.975,0.025,1211.3,30.2825
SSP2,Benin,2035-2040,0--4,Male,0.977,0.023,1267.8,29.1594
SSP2,Benin,2040-2045,0--4,Male,0.98,0.02,1319.2,26.384
SSP2,Benin,2045-2050,0--4,Male,0.982,0.018,1352.7,24.3486
SSP2,Benin,2050-2055,0--4,Male,0.984,0.016,1376,22.016
SSP2,Benin,2055-2060,0--4,Male,0.987,0.013,1374.7,17.8711
SSP2,Benin,2060-2065,0--4,Male,0.989,0.011,1348.6,14.8346
SSP2,Benin,2065-2070,0--4,Male,0.99,0.01,1338.3,13.383
SSP2,Benin,2070-2075,0--4,Male,0.991,0.009,1299.8,11.6982
SSP2,Benin,2075-2080,0--4,Male,0.992,0.008,1263.3,10.1064
SSP2,Benin,2080-2085,0--4,Male,0.993,0.007,1190.2,8.3314
SSP2,Benin,2085-2090,0--4,Male,0.994,0.006,1129.1,6.7746
SSP2,Benin,2090-2095,0--4,Male,0.995,0.005,1060.1,5.3005
SSP2,Benin,2095-2100,0--4,Male,0.995,0.005,1019.3,5.0965
SSP2,Bhutan,2030-2035,0--4,Male,0.997,0.003,25.3,0.0759
SSP2,Bhutan,2035-2040,0--4,Male,0.998,0.002,23.9,0.0478
SSP2,Bhutan,2040-2045,0--4,Male,0.998,0.002,22.4,0.0448
SSP2,Bhutan,2045-2050,0--4,Male,0.998,0.002,20.7,0.0414
SSP2,Bhutan,2050-2055,0--4,Male,0.999,0.001,19.1,0.0191
SSP2,Bhutan,2055-2060,0--4,Male,0.999,0.001,17.9,0.0179
SSP2,Bhutan,2060-2065,0--4,Male,0.999,0.001,17.1,0.0171
SSP2,Bhutan,2065-2070,0--4,Male,0.999,0.001,16.3,0.0163
SSP2,Bhutan,2070-2075,0--4,Male,0.999,0.001,15.4,0.0154
SSP2,Bhutan,2075-2080,0--4,Male,0.999,0.001,14.5,0.0145
SSP2,Bhutan,2080-2085,0--4,Male,0.999,0.001,13.7,0.0137
SSP2,Bhutan,2085-2090,0--4,Male,0.999,0.001,12.9,0.0129
SSP2,Bhutan,2090-2095,0--4,Male,1,0,12.3,0
SSP2,Bhutan,2095-2100,0--4,Male,1,0,11.8,0
SSP2,Botswana,2030-2035,0--4,Male,0.992,0.008,141,1.128
SSP2,Botswana,2035-2040,0--4,Male,0.992,0.008,139.5,1.116
SSP2,Botswana,2040-2045,0--4,Male,0.993,0.007,137.2,0.9604
SSP2,Botswana,2045-2050,0--4,Male,0.993,0.007,133.7,0.9359
SSP2,Botswana,2050-2055,0--4,Male,0.994,0.006,125.9,0.7554
SSP2,Botswana,2055-2060,0--4,Male,0.994,0.006,117.8,0.7068
SSP2,Botswana,2060-2065,0--4,Male,0.995,0.005,113.2,0.566
SSP2,Botswana,2065-2070,0--4,Male,0.995,0.005,110.3,0.5515
SSP2,Botswana,2070-2075,0--4,Male,0.996,0.004,107.2,0.4288
SSP2,Botswana,2075-2080,0--4,Male,0.996,0.004,104.1,0.4164
SSP2,Botswana,2080-2085,0--4,Male,0.996,0.004,98.8,0.3952
SSP2,Botswana,2085-2090,0--4,Male,0.997,0.003,95.2,0.2856
SSP2,Botswana,2090-2095,0--4,Male,0.997,0.003,90.6,0.2718
SSP2,Botswana,2095-2100,0--4,Male,0.997,0.003,88,0.264
SSP2,Brunei Darussalam,2030-2035,0--4,Male,0.999,0.001,15.3,0.0153
SSP2,Brunei Darussalam,2035-2040,0--4,Male,0.999,0.001,14.8,0.0148
SSP2,Brunei Darussalam,2040-2045,0--4,Male,0.999,0.001,14.6,0.0146
SSP2,Brunei Darussalam,2045-2050,0--4,Male,0.999,0.001,14.4,0.0144
SSP2,Brunei Darussalam,2050-2055,0--4,Male,0.999,0.001,14.1,0.0141
SSP2,Brunei Darussalam,2055-2060,0--4,Male,0.999,0.001,13.6,0.0136
SSP2,Brunei Darussalam,2060-2065,0--4,Male,0.999,0.001,13.2,0.0132
SSP2,Brunei Darussalam,2065-2070,0--4,Male,1,0,12.7,0
SSP2,Brunei Darussalam,2070-2075,0--4,Male,1,0,12.5,0
SSP2,Brunei Darussalam,2075-2080,0--4,Male,1,0,12.3,0
SSP2,Brunei Darussalam,2080-2085,0--4,Male,1,0,12,0
SSP2,Brunei Darussalam,2085-2090,0--4,Male,1,0,11.7,0
SSP2,Brunei Darussalam,2090-2095,0--4,Male,1,0,11.3,0
SSP2,Brunei Darussalam,2095-2100,0--4,Male,1,0,10.9,0
SSP2,Burkina Faso,2030-2035,0--4,Male,0.976,0.024,2030.7,48.7368
SSP2,Burkina Faso,2035-2040,0--4,Male,0.978,0.022,2166.1,47.6542
SSP2,Burkina Faso,2040-2045,0--4,Male,0.981,0.019,2286.1,43.4359
SSP2,Burkina Faso,2045-2050,0--4,Male,0.983,0.017,2362.3,40.1591
SSP2,Burkina Faso,2050-2055,0--4,Male,0.985,0.015,2394.9,35.9235
SSP2,Burkina Faso,2055-2060,0--4,Male,0.987,0.013,2368,30.784
SSP2,Burkina Faso,2060-2065,0--4,Male,0.989,0.011,2344.8,25.7928
SSP2,Burkina Faso,2065-2070,0--4,Male,0.991,0.009,2320,20.88
SSP2,Burkina Faso,2070-2075,0--4,Male,0.992,0.008,2284.8,18.2784
SSP2,Burkina Faso,2075-2080,0--4,Male,0.993,0.007,2231,15.617
SSP2,Burkina Faso,2080-2085,0--4,Male,0.994,0.006,2139.5,12.837
SSP2,Burkina Faso,2085-2090,0--4,Male,0.995,0.005,2019.7,10.0985
SSP2,Burkina Faso,2090-2095,0--4,Male,0.995,0.005,1906.8,9.534
SSP2,Burkina Faso,2095-2100,0--4,Male,0.996,0.004,1838.9,7.3556
SSP2,Burundi,2030-2035,0--4,Male,0.98,0.02,1092.8,21.856
SSP2,Burundi,2035-2040,0--4,Male,0.982,0.018,1163.1,20.9358
SSP2,Burundi,2040-2045,0--4,Male,0.983,0.017,1219.9,20.7383
SSP2,Burundi,2045-2050,0--4,Male,0.985,0.015,1242,18.63
SSP2,Burundi,2050-2055,0--4,Male,0.986,0.014,1237.3,17.3222
SSP2,Burundi,2055-2060,0--4,Male,0.988,0.012,1209.4,14.5128
SSP2,Burundi,2060-2065,0--4,Male,0.989,0.011,1177.3,12.9503
SSP2,Burundi,2065-2070,0--4,Male,0.991,0.009,1145.9,10.3131
SSP2,Burundi,2070-2075,0--4,Male,0.992,0.008,1105.6,8.8448
SSP2,Burundi,2075-2080,0--4,Male,0.993,0.007,1061.2,7.4284
SSP2,Burundi,2080-2085,0--4,Male,0.994,0.006,1003.1,6.0186
SSP2,Burundi,2085-2090,0--4,Male,0.994,0.006,939.1,5.6346
SSP2,Burundi,2090-2095,0--4,Male,0.995,0.005,903.6,4.518
SSP2,Burundi,2095-2100,0--4,Male,0.995,0.005,877.6,4.388
SSP2,Cambodia,2030-2035,0--4,Male,0.994,0.006,764.5,4.587
SSP2,Cambodia,2035-2040,0--4,Male,0.995,0.005,746.4,3.732
SSP2,Cambodia,2040-2045,0--4,Male,0.996,0.004,717.7,2.8708
SSP2,Cambodia,2045-2050,0--4,Male,0.996,0.004,665.5,2.662
SSP2,Cambodia,2050-2055,0--4,Male,0.996,0.004,626.6,2.5064
SSP2,Cambodia,2055-2060,0--4,Male,0.997,0.003,598.6,1.7958
SSP2,Cambodia,2060-2065,0--4,Male,0.997,0.003,574.7,1.7241
SSP2,Cambodia,2065-2070,0--4,Male,0.997,0.003,547.8,1.6434
SSP2,Cambodia,2070-2075,0--4,Male,0.998,0.002,518.1,1.0362
SSP2,Cambodia,2075-2080,0--4,Male,0.998,0.002,490.3,0.9806
SSP2,Cambodia,2080-2085,0--4,Male,0.998,0.002,466.7,0.9334
SSP2,Cambodia,2085-2090,0--4,Male,0.998,0.002,446.4,0.8928
SSP2,Cambodia,2090-2095,0--4,Male,0.998,0.002,427.1,0.8542
SSP2,Cambodia,2095-2100,0--4,Male,0.998,0.002,407.3,0.8146
SSP2,Cameroon,2030-2035,0--4,Male,0.981,0.019,2302.8,43.7532
SSP2,Cameroon,2035-2040,0--4,Male,0.983,0.017,2354.3,40.0231
SSP2,Cameroon,2040-2045,0--4,Male,0.984,0.016,2402.9,38.4464
SSP2,Cameroon,2045-2050,0--4,Male,0.985,0.015,2443.3,36.6495
SSP2,Cameroon,2050-2055,0--4,Male,0.986,0.014,2446.2,34.2468
SSP2,Cameroon,2055-2060,0--4,Male,0.988,0.012,2426.7,29.1204
SSP2,Cameroon,2060-2065,0--4,Male,0.989,0.011,2367,26.037
SSP2,Cameroon,2065-2070,0--4,Male,0.99,0.01,2295.7,22.957
SSP2,Cameroon,2070-2075,0--4,Male,0.991,0.009,2231.6,20.0844
SSP2,Cameroon,2075-2080,0--4,Male,0.992,0.008,2092.8,16.7424
SSP2,Cameroon,2080-2085,0--4,Male,0.993,0.007,1995,13.965
SSP2,Cameroon,2085-2090,0--4,Male,0.993,0.007,1878.6,13.1502
SSP2,Cameroon,2090-2095,0--4,Male,0.994,0.006,1801,10.806
SSP2,Cameroon,2095-2100,0--4,Male,0.995,0.005,1753.5,8.7675
SSP2,Cape Verde,2030-2035,0--4,Male,0.998,0.002,23.4,0.0468
SSP2,Cape Verde,2035-2040,0--4,Male,0.999,0.001,21.7,0.0217
SSP2,Cape Verde,2040-2045,0--4,Male,0.999,0.001,20.7,0.0207
SSP2,Cape Verde,2045-2050,0--4,Male,0.999,0.001,19.8,0.0198
SSP2,Cape Verde,2050-2055,0--4,Male,0.999,0.001,19,0.019
SSP2,Cape Verde,2055-2060,0--4,Male,0.999,0.001,18,0.018
SSP2,Cape Verde,2060-2065,0--4,Male,0.999,0.001,17,0.017
SSP2,Cape Verde,2065-2070,0--4,Male,0.999,0.001,16.1,0.0161
SSP2,Cape Verde,2070-2075,0--4,Male,0.999,0.001,15.5,0.0155
SSP2,Cape Verde,2075-2080,0--4,Male,1,0,14.8,0
SSP2,Cape Verde,2080-2085,0--4,Male,1,0,14.3,0
SSP2,Cape Verde,2085-2090,0--4,Male,1,0,13.8,0
SSP2,Cape Verde,2090-2095,0--4,Male,1,0,13.3,0
SSP2,Cape Verde,2095-2100,0--4,Male,1,0,12.9,0
SSP2,Central African Republic,2030-2035,0--4,Male,0.974,0.026,623.8,16.2188
SSP2,Central African Republic,2035-2040,0--4,Male,0.975,0.025,672,16.8
SSP2,Central African Republic,2040-2045,0--4,Male,0.977,0.023,698.8,16.0724
SSP2,Central African Republic,2045-2050,0--4,Male,0.979,0.021,715.7,15.0297
SSP2,Central African Republic,2050-2055,0--4,Male,0.98,0.02,733.1,14.662
SSP2,Central African Republic,2055-2060,0--4,Male,0.982,0.018,738.4,13.2912
SSP2,Central African Republic,2060-2065,0--4,Male,0.984,0.016,738.4,11.8144
SSP2,Central African Republic,2065-2070,0--4,Male,0.985,0.015,730.4,10.956
SSP2,Central African Republic,2070-2075,0--4,Male,0.987,0.013,717.7,9.3301
SSP2,Central African Republic,2075-2080,0--4,Male,0.988,0.012,698.6,8.3832
SSP2,Central African Republic,2080-2085,0--4,Male,0.989,0.011,673.4,7.4074
SSP2,Central African Republic,2085-2090,0--4,Male,0.99,0.01,646.2,6.462
SSP2,Central African Republic,2090-2095,0--4,Male,0.991,0.009,608.1,5.4729
SSP2,Central African Republic,2095-2100,0--4,Male,0.993,0.007,572.1,4.0047
SSP2,Chad,2030-2035,0--4,Male,0.959,0.041,1971.3,80.8233
SSP2,Chad,2035-2040,0--4,Male,0.963,0.037,2149.6,79.5352
SSP2,Chad,2040-2045,0--4,Male,0.966,0.034,2303.4,78.3156
SSP2,Chad,2045-2050,0--4,Male,0.969,0.031,2403.2,74.4992
SSP2,Chad,2050-2055,0--4,Male,0.972,0.028,2477.3,69.3644
SSP2,Chad,2055-2060,0--4,Male,0.975,0.025,2513.9,62.8475
SSP2,Chad,2060-2065,0--4,Male,0.977,0.023,2510,57.73
SSP2,Chad,2065-2070,0--4,Male,0.98,0.02,2494.4,49.888
SSP2,Chad,2070-2075,0--4,Male,0.982,0.018,2450.8,44.1144
SSP2,Chad,2075-2080,0--4,Male,0.983,0.017,2410.4,40.9768
SSP2,Chad,2080-2085,0--4,Male,0.985,0.015,2320.7,34.8105
SSP2,Chad,2085-2090,0--4,Male,0.987,0.013,2261.4,29.3982
SSP2,Chad,2090-2095,0--4,Male,0.988,0.012,2146.1,25.7532
SSP2,Chad,2095-2100,0--4,Male,0.99,0.01,2008.7,20.087
SSP2,China,2030-2035,0--4,Male,0.999,0.001,26106.6,26.1066
SSP2,China,2035-2040,0--4,Male,0.999,0.001,25395.3,25.3953
SSP2,China,2040-2045,0--4,Male,0.999,0.001,25964.8,25.9648
SSP2,China,2045-2050,0--4,Male,0.999,0.001,25644.5,25.6445
SSP2,China,2050-2055,0--4,Male,0.999,0.001,23797.2,23.7972
SSP2,China,2055-2060,0--4,Male,0.999,0.001,21234.3,21.2343
SSP2,China,2060-2065,0--4,Male,0.999,0.001,19358.3,19.3583
SSP2,China,2065-2070,0--4,Male,1,0,18184.1,0
SSP2,China,2070-2075,0--4,Male,1,0,17597.3,0
SSP2,China,2075-2080,0--4,Male,1,0,17234.6,0
SSP2,China,2080-2085,0--4,Male,1,0,16532.3,0
SSP2,China,2085-2090,0--4,Male,1,0,15511.2,0
SSP2,China,2090-2095,0--4,Male,1,0,14439,0
SSP2,China,2095-2100,0--4,Male,1,0,13603.5,0
SSP2,Comoros,2030-2035,0--4,Male,0.989,0.011,59.5,0.6545
SSP2,Comoros,2035-2040,0--4,Male,0.99,0.01,59.9,0.599
SSP2,Comoros,2040-2045,0--4,Male,0.991,0.009,60.5,0.5445
SSP2,Comoros,2045-2050,0--4,Male,0.992,0.008,60.8,0.4864
SSP2,Comoros,2050-2055,0--4,Male,0.993,0.007,60.4,0.4228
SSP2,Comoros,2055-2060,0--4,Male,0.994,0.006,59,0.354
SSP2,Comoros,2060-2065,0--4,Male,0.995,0.005,56.6,0.283
SSP2,Comoros,2065-2070,0--4,Male,0.996,0.004,54.6,0.2184
SSP2,Comoros,2070-2075,0--4,Male,0.996,0.004,51.2,0.2048
SSP2,Comoros,2075-2080,0--4,Male,0.997,0.003,48.6,0.1458
SSP2,Comoros,2080-2085,0--4,Male,0.997,0.003,45.5,0.1365
SSP2,Comoros,2085-2090,0--4,Male,0.998,0.002,43.6,0.0872
SSP2,Comoros,2090-2095,0--4,Male,0.998,0.002,42.4,0.0848
SSP2,Comoros,2095-2100,0--4,Male,0.998,0.002,41.1,0.0822
SSP2,Congo,2030-2035,0--4,Male,0.99,0.01,457.8,4.578
SSP2,Congo,2035-2040,0--4,Male,0.991,0.009,480.7,4.3263
SSP2,Congo,2040-2045,0--4,Male,0.992,0.008,494.6,3.9568
SSP2,Congo,2045-2050,0--4,Male,0.992,0.008,498.4,3.9872
SSP2,Congo,2050-2055,0--4,Male,0.993,0.007,497.8,3.4846
SSP2,Congo,2055-2060,0--4,Male,0.994,0.006,487.9,2.9274
SSP2,Congo,2060-2065,0--4,Male,0.994,0.006,472.4,2.8344
SSP2,Congo,2065-2070,0--4,Male,0.995,0.005,461.1,2.3055
SSP2,Congo,2070-2075,0--4,Male,0.995,0.005,441.1,2.2055
SSP2,Congo,2075-2080,0--4,Male,0.996,0.004,412.2,1.6488
SSP2,Congo,2080-2085,0--4,Male,0.996,0.004,387.1,1.5484
SSP2,Congo,2085-2090,0--4,Male,0.997,0.003,372.8,1.1184
SSP2,Congo,2090-2095,0--4,Male,0.997,0.003,362.2,1.0866
SSP2,Congo,2095-2100,0--4,Male,0.997,0.003,351.5,1.0545
SSP2,Cote d'Ivoire,2030-2035,0--4,Male,0.983,0.017,2258.7,38.3979
SSP2,Cote d'Ivoire,2035-2040,0--4,Male,0.984,0.016,2315.3,37.0448
SSP2,Cote d'Ivoire,2040-2045,0--4,Male,0.985,0.015,2337,35.055
SSP2,Cote d'Ivoire,2045-2050,0--4,Male,0.987,0.013,2335.7,30.3641
SSP2,Cote d'Ivoire,2050-2055,0--4,Male,0.988,0.012,2302.6,27.6312
SSP2,Cote d'Ivoire,2055-2060,0--4,Male,0.989,0.011,2260.9,24.8699
SSP2,Cote d'Ivoire,2060-2065,0--4,Male,0.991,0.009,2190.9,19.7181
SSP2,Cote d'Ivoire,2065-2070,0--4,Male,0.992,0.008,2109.6,16.8768
SSP2,Cote d'Ivoire,2070-2075,0--4,Male,0.993,0.007,2016.1,14.1127
SSP2,Cote d'Ivoire,2075-2080,0--4,Male,0.994,0.006,1896,11.376
SSP2,Cote d'Ivoire,2080-2085,0--4,Male,0.994,0.006,1768.3,10.6098
SSP2,Cote d'Ivoire,2085-2090,0--4,Male,0.995,0.005,1698.8,8.494
SSP2,Cote d'Ivoire,2090-2095,0--4,Male,0.996,0.004,1655.5,6.622
SSP2,Cote d'Ivoire,2095-2100,0--4,Male,0.996,0.004,1610.7,6.4428
SSP2,Democratic Republic of the Congo,2030-2035,0--4,Male,0.972,0.028,10925,305.9
SSP2,Democratic Republic of the Congo,2035-2040,0--4,Male,0.974,0.026,11824.7,307.4422
SSP2,Democratic Republic of the Congo,2040-2045,0--4,Male,0.975,0.025,12673.5,316.8375
SSP2,Democratic Republic of the Congo,2045-2050,0--4,Male,0.977,0.023,13388.3,307.9309
SSP2,Democratic Republic of the Congo,2050-2055,0--4,Male,0.979,0.021,13904.2,291.9882
SSP2,Democratic Republic of the Congo,2055-2060,0--4,Male,0.981,0.019,14200.6,269.8114
SSP2,Democratic Republic of the Congo,2060-2065,0--4,Male,0.982,0.018,14371.1,258.6798
SSP2,Democratic Republic of the Congo,2065-2070,0--4,Male,0.984,0.016,14331.8,229.3088
SSP2,Democratic Republic of the Congo,2070-2075,0--4,Male,0.985,0.015,14223.3,213.3495
SSP2,Democratic Republic of the Congo,2075-2080,0--4,Male,0.987,0.013,14017.9,182.2327
SSP2,Democratic Republic of the Congo,2080-2085,0--4,Male,0.989,0.011,13640.4,150.0444
SSP2,Democratic Republic of the Congo,2085-2090,0--4,Male,0.99,0.01,13207.2,132.072
SSP2,Democratic Republic of the Congo,2090-2095,0--4,Male,0.99,0.01,12456.2,124.562
SSP2,Democratic Republic of the Congo,2095-2100,0--4,Male,0.991,0.009,11756.5,105.8085
SSP2,Djibouti,2030-2035,0--4,Male,0.982,0.018,57.2,1.0296
SSP2,Djibouti,2035-2040,0--4,Male,0.984,0.016,56.9,0.9104
SSP2,Djibouti,2040-2045,0--4,Male,0.986,0.014,55.5,0.777
SSP2,Djibouti,2045-2050,0--4,Male,0.987,0.013,53.6,0.6968
SSP2,Djibouti,2050-2055,0--4,Male,0.989,0.011,50,0.55
SSP2,Djibouti,2055-2060,0--4,Male,0.991,0.009,47.3,0.4257
SSP2,Djibouti,2060-2065,0--4,Male,0.992,0.008,44.4,0.3552
SSP2,Djibouti,2065-2070,0--4,Male,0.993,0.007,43,0.301
SSP2,Djibouti,2070-2075,0--4,Male,0.994,0.006,42,0.252
SSP2,Djibouti,2075-2080,0--4,Male,0.995,0.005,40.9,0.2045
SSP2,Djibouti,2080-2085,0--4,Male,0.996,0.004,39,0.156
SSP2,Djibouti,2085-2090,0--4,Male,0.996,0.004,37.1,0.1484
SSP2,Djibouti,2090-2095,0--4,Male,0.997,0.003,35.1,0.1053
SSP2,Djibouti,2095-2100,0--4,Male,0.997,0.003,33.6,0.1008
SSP2,Equatorial Guinea,2030-2035,0--4,Male,0.982,0.018,124.9,2.2482
SSP2,Equatorial Guinea,2035-2040,0--4,Male,0.984,0.016,130.4,2.0864
SSP2,Equatorial Guinea,2040-2045,0--4,Male,0.985,0.015,134.9,2.0235
SSP2,Equatorial Guinea,2045-2050,0--4,Male,0.986,0.014,137.9,1.9306
SSP2,Equatorial Guinea,2050-2055,0--4,Male,0.987,0.013,139.2,1.8096
SSP2,Equatorial Guinea,2055-2060,0--4,Male,0.988,0.012,137.3,1.6476
SSP2,Equatorial Guinea,2060-2065,0--4,Male,0.989,0.011,133.7,1.4707
SSP2,Equatorial Guinea,2065-2070,0--4,Male,0.99,0.01,130.8,1.308
SSP2,Equatorial Guinea,2070-2075,0--4,Male,0.991,0.009,125.2,1.1268
SSP2,Equatorial Guinea,2075-2080,0--4,Male,0.992,0.008,118.1,0.9448
SSP2,Equatorial Guinea,2080-2085,0--4,Male,0.993,0.007,110.6,0.7742
SSP2,Equatorial Guinea,2085-2090,0--4,Male,0.994,0.006,106.6,0.6396
SSP2,Equatorial Guinea,2090-2095,0--4,Male,0.994,0.006,103.2,0.6192
SSP2,Equatorial Guinea,2095-2100,0--4,Male,0.995,0.005,99.3,0.4965
SSP2,Eritrea,2030-2035,0--4,Male,0.989,0.011,273.1,3.0041
SSP2,Eritrea,2035-2040,0--4,Male,0.99,0.01,280.2,2.802
SSP2,Eritrea,2040-2045,0--4,Male,0.991,0.009,275.8,2.4822
SSP2,Eritrea,2045-2050,0--4,Male,0.993,0.007,263.3,1.8431
SSP2,Eritrea,2050-2055,0--4,Male,0.993,0.007,252,1.764
SSP2,Eritrea,2055-2060,0--4,Male,0.994,0.006,242.4,1.4544
SSP2,Eritrea,2060-2065,0--4,Male,0.995,0.005,234.1,1.1705
SSP2,Eritrea,2065-2070,0--4,Male,0.995,0.005,224.1,1.1205
SSP2,Eritrea,2070-2075,0--4,Male,0.996,0.004,207.5,0.83
SSP2,Eritrea,2075-2080,0--4,Male,0.996,0.004,191,0.764
SSP2,Eritrea,2080-2085,0--4,Male,0.997,0.003,181.1,0.5433
SSP2,Eritrea,2085-2090,0--4,Male,0.997,0.003,175.3,0.5259
SSP2,Eritrea,2090-2095,0--4,Male,0.997,0.003,170.5,0.5115
SSP2,Eritrea,2095-2100,0--4,Male,0.998,0.002,163.5,0.327
SSP2,Ethiopia,2030-2035,0--4,Male,0.985,0.015,9971.6,149.574
SSP2,Ethiopia,2035-2040,0--4,Male,0.986,0.014,10228.2,143.1948
SSP2,Ethiopia,2040-2045,0--4,Male,0.988,0.012,10361.4,124.3368
SSP2,Ethiopia,2045-2050,0--4,Male,0.99,0.01,10416.8,104.168
SSP2,Ethiopia,2050-2055,0--4,Male,0.991,0.009,10496.9,94.4721
SSP2,Ethiopia,2055-2060,0--4,Male,0.992,0.008,10502.6,84.0208
SSP2,Ethiopia,2060-2065,0--4,Male,0.993,0.007,10445.1,73.1157
SSP2,Ethiopia,2065-2070,0--4,Male,0.994,0.006,10036.6,60.2196
SSP2,Ethiopia,2070-2075,0--4,Male,0.995,0.005,9637.9,48.1895
SSP2,Ethiopia,2075-2080,0--4,Male,0.995,0.005,9051.5,45.2575
SSP2,Ethiopia,2080-2085,0--4,Male,0.996,0.004,8569.6,34.2784
SSP2,Ethiopia,2085-2090,0--4,Male,0.997,0.003,8302.8,24.9084
SSP2,Ethiopia,2090-2095,0--4,Male,0.997,0.003,8101.6,24.3048
SSP2,Ethiopia,2095-2100,0--4,Male,0.997,0.003,7840.6,23.5218
SSP2,Gabon,2030-2035,0--4,Male,0.993,0.007,150.6,1.0542
SSP2,Gabon,2035-2040,0--4,Male,0.993,0.007,151.4,1.0598
SSP2,Gabon,2040-2045,0--4,Male,0.994,0.006,153.1,0.9186
SSP2,Gabon,2045-2050,0--4,Male,0.995,0.005,153.6,0.768
SSP2,Gabon,2050-2055,0--4,Male,0.995,0.005,151.7,0.7585
SSP2,Gabon,2055-2060,0--4,Male,0.996,0.004,148.1,0.5924
SSP2,Gabon,2060-2065,0--4,Male,0.996,0.004,141,0.564
SSP2,Gabon,2065-2070,0--4,Male,0.996,0.004,132.9,0.5316
SSP2,Gabon,2070-2075,0--4,Male,0.997,0.003,124.6,0.3738
SSP2,Gabon,2075-2080,0--4,Male,0.997,0.003,121.1,0.3633
SSP2,Gabon,2080-2085,0--4,Male,0.998,0.002,118.4,0.2368
SSP2,Gabon,2085-2090,0--4,Male,0.998,0.002,114.8,0.2296
SSP2,Gabon,2090-2095,0--4,Male,0.998,0.002,110.8,0.2216
SSP2,Gabon,2095-2100,0--4,Male,0.998,0.002,105.2,0.2104
SSP2,Gambia,2030-2035,0--4,Male,0.982,0.018,207.4,3.7332
SSP2,Gambia,2035-2040,0--4,Male,0.984,0.016,218.3,3.4928
SSP2,Gambia,2040-2045,0--4,Male,0.986,0.014,221.4,3.0996
SSP2,Gambia,2045-2050,0--4,Male,0.988,0.012,222.4,2.6688
